int_rate,dti,fico_range_low,revol_util,annual_inc_log,loan_amnt_log,installment,open_acc,pub_rec,delinq_2yrs,credit_history_years,income_to_loan_ratio,installment_to_income,total_interest_burden,sub_grade_freq,emp_stable,revol_bal_log,annual_inc
10.78,18.84,680.0,65.7,11.23850177707664,7.601402334583733,65.27,17.0,0.0,0.0,20.829568788501028,38.0,0.010305789473684211,215.6,0.06638957537631993,1.0,9.052164937010307,76000.0
11.48,2.01,670.0,44.0,11.082157933374816,9.61587214452889,494.5,8.0,0.0,0.0,9.998631074606434,4.333333333333333,0.09129230769230769,1722.0,0.060435857110761625,1.0,8.512783482927537,65000.0
13.44,22.15,755.0,10.5,11.156264806643742,10.12667110305036,847.66,9.0,0.0,0.0,7.416837782340862,2.8,0.14531314285714286,3360.0,0.05088744102448888,0.0,8.251663923605589,70000.0
18.99,21.76,670.0,62.9,11.350418300109132,9.575052927597383,373.47,12.0,1.0,0.0,14.751540041067761,5.902777777777778,0.05272517647058824,2734.56,0.015389800044933722,1.0,9.424887076064874,85000.0
14.85,10.84,695.0,31.8,10.915106645867503,8.881975184248867,249.07,12.0,0.0,0.0,7.080082135523614,7.638888888888889,0.054342545454545456,1069.2,0.044147382610649294,0.0,8.43750042250699,55000.0
10.78,30.8,700.0,60.6,10.872161984089844,9.680406499268875,522.16,10.0,0.0,0.0,11.331964407939767,3.293,0.11892499240813846,1724.8,0.06638957537631993,0.0,9.28126471031288,52688.0
13.99,33.0,705.0,22.7,10.736418414365376,7.601402334583733,68.35,18.0,0.0,3.0,14.751540041067761,23.0,0.017830434782608692,279.8,0.05571781622107391,1.0,8.304989580140361,46000.0
9.17,12.93,695.0,43.1,10.799595985047786,8.294299608857235,127.52,12.0,0.0,0.0,18.33264887063655,12.25,0.031229387755102037,366.8,0.0636935520107841,1.0,9.625095526991439,49000.0
9.8,17.12,715.0,31.3,11.225256725762893,9.798182590890704,380.68,25.0,0.0,0.0,31.665982203969882,4.166666666666667,0.0609088,1764.0,0.06290721186250281,1.0,9.898424758193666,75000.0
11.99,7.9,775.0,17.8,11.082157933374816,9.61587214452889,333.6,27.0,0.0,0.0,21.828884325804243,4.333333333333333,0.06158769230769231,1798.5,0.06762525275219052,1.0,9.460787757817737,65000.0
13.99,24.13,665.0,84.7,9.90353755128617,8.846640813100485,237.51,6.0,0.0,0.0,14.247775496235455,2.8776978417266186,0.142506,972.305,0.05571781622107391,1.0,8.95040315983296,20000.0
17.27,13.21,705.0,32.6,9.90353755128617,8.881975184248867,257.67,8.0,0.0,1.0,12.668035592060233,2.7777777777777777,0.154602,1243.44,0.02460121321051449,1.0,8.89604050162011,20000.0
16.59,36.36,680.0,40.4,10.221977646629885,9.528866827722945,487.43,9.0,0.0,0.0,16.829568788501028,2.0,0.2126967272727273,2281.125,0.02909458548640755,1.0,8.774776816043985,27500.0
8.49,12.51,675.0,62.2,11.156264806643742,9.90353755128617,631.26,3.0,0.0,0.0,16.501026694045173,3.5,0.108216,1698.0,0.054145135924511346,1.0,10.380497827807389,70000.0
7.26,10.3,715.0,40.6,11.082157933374816,9.729193687429403,520.74,6.0,0.0,0.0,12.999315537303216,3.869047619047619,0.09613661538461538,1219.68,0.03707032127611773,1.0,9.257510176452573,65000.0
11.99,12.08,720.0,50.7,11.626263078808801,9.472781556562168,431.73,15.0,0.0,1.0,28.66803559206023,8.615384615384615,0.046256785714285716,1558.7,0.06762525275219052,1.0,8.645234541297121,112000.0
9.17,5.54,660.0,55.5,11.918397239722838,9.169622538697624,306.04,6.0,1.0,0.0,12.668035592060233,15.625,0.0244832,880.32,0.0636935520107841,0.0,8.921857979353632,150000.0
16.99,24.5,665.0,67.2,10.043292972227004,9.127067452782361,327.96,8.0,0.0,0.0,16.914442162902123,2.5,0.1711095652173913,1563.08,0.02460121321051449,1.0,9.439227397917458,23000.0
12.88,5.43,685.0,8.5,12.240478903153711,10.12667110305036,840.91,10.0,1.0,1.0,13.66735112936345,8.28,0.04874840579710145,3220.0,0.06122219725904291,0.0,7.421775793644647,207000.0
7.26,17.93,710.0,86.1,10.915106645867503,9.392745258631441,371.96,12.0,0.0,0.0,11.416837782340862,4.583333333333333,0.0811549090909091,871.2,0.03707032127611773,0.0,9.548881894718772,55000.0
18.99,15.88,765.0,6.0,9.99884318585288,8.771990436532242,236.4,7.0,0.0,0.0,8.58590006844627,3.4108527131782944,0.12894545454545456,1224.8549999999998,0.013030779600089868,0.0,6.885509670034818,22000.0
16.59,25.52,700.0,78.4,11.326607934898927,10.463131911491967,1240.72,16.0,0.0,0.0,33.58521560574949,2.3714285714285714,0.1793812048192771,5806.5,0.02909458548640755,0.0,10.479426532190532,83000.0
13.44,10.18,670.0,76.1,11.571203807011969,9.392745258631441,275.75,6.0,0.0,1.0,14.584531143052704,8.833333333333334,0.03121698113207547,1612.8,0.05088744102448888,1.0,8.937875265329263,106000.0
12.88,22.83,665.0,48.0,11.982935344196433,10.373522431293592,1076.36,31.0,0.0,1.0,13.418206707734429,5.0,0.080727,4121.6,0.06122219725904291,1.0,10.544946623937323,160000.0
10.78,15.5,670.0,49.8,10.933124826700707,8.517393171418904,163.18,6.0,0.0,0.0,7.1649555099247095,11.2,0.034967142857142856,539.0,0.06638957537631993,1.0,7.598399329323964,56000.0
10.78,7.4,660.0,65.7,11.695255355062795,9.65509029374725,509.11,9.0,1.0,0.0,22.751540041067763,7.6923076923076925,0.050911,1681.68,0.06638957537631993,1.0,7.898411092811599,120000.0
15.77,12.39,675.0,42.9,10.239995502805316,9.105090961257085,315.4,12.0,0.0,0.0,12.999315537303216,3.111111111111111,0.13517142857142855,1419.3,0.03538530667265783,1.0,9.100413892597578,28000.0
12.88,16.94,710.0,35.9,11.51293546492023,8.881975184248867,242.19,12.0,0.0,0.0,11.75085557837098,13.88888888888889,0.029062799999999996,927.36,0.06122219725904291,0.0,8.747034264178168,100000.0
7.49,17.9,715.0,56.8,12.206077645517674,10.085850775128717,746.44,17.0,0.0,0.0,18.33264887063655,8.333333333333334,0.0447864,1797.6,0.03707032127611773,1.0,10.117267400897372,200000.0
6.49,28.22,730.0,60.7,10.896757843893464,9.105090961257085,275.81,9.0,0.0,0.0,13.166324435318275,6.0,0.06129111111111111,584.1,0.03257694900022467,1.0,10.143684858416165,54000.0
11.48,24.85,675.0,49.2,9.90353755128617,8.517393171418904,164.84,14.0,0.0,6.0,13.752224503764545,4.0,0.09890399999999999,574.0,0.060435857110761625,1.0,9.430118265814091,20000.0
11.99,13.82,660.0,20.9,11.51293546492023,8.699681400989514,199.26,10.0,0.0,1.0,5.66735112936345,16.666666666666668,0.023911199999999997,719.4,0.06762525275219052,1.0,9.126088819528592,100000.0
11.22,19.86,685.0,46.8,10.915106645867503,8.188966863648876,118.24,16.0,0.0,0.0,21.585215605749486,15.277777777777779,0.025797818181818182,403.92,0.060435857110761625,1.0,9.21612361673191,55000.0
